Latitude,Longitude,valid_hours,total_hours,valid_ratio,year,avg_z0
-33.7848,138.8892,4335.0,8748,0.4955418381344307,2010,0.15363569557666779
-33.7703,138.9076,4335.0,8748,0.4955418381344307,2010,0.15363569557666779
-41.7816,145.0422,4796.0,8748,0.5482395976223137,2010,0.03
-35.0658,117.7975,0.0,8748,0.0,2010,0.5745514631271362
-34.5442,149.4331,4019.0,8748,0.45941929583904895,2010,0.6851886510848999
-34.6329,149.456,3718.0,8748,0.4250114311842707,2010,0.06157830357551575
-34.6878,149.3829,3877.0,8748,0.4431870141746685,2010,0.06157830357551575
-33.3156,138.7082,4466.0,8748,0.5105166895290352,2010,0.1571306735277176
-33.5642,138.864,3784.0,8748,0.4325560128029264,2010,0.15363569557666779
-33.2991,138.7044,4466.0,8748,0.5105166895290352,2010,0.1571306735277176
-33.3832,138.792,4236.0,8748,0.4842249657064472,2010,0.1571306735277176
-38.1481,142.3609,3894.0,8748,0.4451303155006859,2010,0.9531800150871277
-33.0834,138.5157,3531.0,8748,0.40363511659807955,2010,0.10509217530488968
-33.0859,138.5183,3531.0,8748,0.40363511659807955,2010,0.10509217530488968
-33.0859,138.5183,3531.0,8748,0.40363511659807955,2010,0.10509217530488968
-38.1519,144.009,2978.0,8748,0.3404206675811614,2010,0.06765855103731155
-26.3596,120.6198,7780.0,8748,0.8893461362597165,2010,0.4476543068885803
-17.5604,145.4133,5585.0,8748,0.6384316415180613,2010,1.0744245052337646
-27.4808,120.5461,7813.0,8748,0.8931184270690443,2010,0.447012722492218
-20.924,144.378,6197.0,8748,0.7083904892546868,2010,0.16616788506507874
-36.3963,141.7501,4025.0,8748,0.46010516689529035,2010,0.0761180967092514
-37.7831,140.406,0.0,8748,0.0,2010,0.6643833518028259
-37.7831,140.406,0.0,8748,0.0,2010,0.6643833518028259
-37.7831,140.406,0.0,8748,0.0,2010,0.6643833518028259
-37.6352,144.0237,2200.0,8748,0.25148605395518975,2010,0.683164656162262
-37.6352,144.0237,2200.0,8748,0.25148605395518975,2010,0.683164656162262
-32.5432,137.5508,3586.0,8748,0.4099222679469593,2010,0.23758897185325623
-32.5432,137.5508,3586.0,8748,0.4099222679469593,2010,0.23758897185325623
-22.365,149.2718,977.0,8748,0.11168267032464563,2010,0.07241469621658325
-38.043,142.1784,3943.0,8748,0.45073159579332417,2010,0.5859709978103638
-28.2163,152.0327,2572.0,8748,0.2940100594421582,2010,0.09573904424905777
-37.6582,144.1683,4938.0,8748,0.5644718792866941,2010,1.276016354560852
-37.7431,144.1712,4938.0,8748,0.5644718792866941,2010,1.276016354560852
-38.1274,142.8574,2340.0,8748,0.2674897119341564,2010,0.09752871841192245
-37.8162,142.4766,3198.0,8748,0.3655692729766804,2010,0.3649427592754364
-17.1332,145.38,1881.0,8748,0.21502057613168724,2010,0.08183931559324265
-17.1332,145.38,1881.0,8748,0.21502057613168724,2010,0.08183931559324265
-38.2561,143.7424,2011.0,8748,0.22988111568358482,2010,0.09420964866876602
-37.8367,143.8619,2689.0,8748,0.30738454503886603,2010,0.07822581380605698
-33.6258,136.7038,3144.0,8748,0.35939643347050754,2010,0.0638057291507721
-28.9883,114.9628,5964.0,8748,0.6817558299039781,2010,0.08227826654911041
-36.4326,142.3173,3920.0,8748,0.4481024234110654,2010,0.08234671503305435
